fill,nbx,lumi pb-1,ilumi fb-1,run1,Era,Notes
4851,2,0.051,0,271036,2016 start,
4852,2,0.044,0.000,271076,,
4856,8,0.607,0.000,271184,,
4861,8,0.844,0.001,271304,,
4874,8,0.408,0.002,271645,,
4879,49,3.956,0.002,272006,,
4888,2,0.037,0.006,272760,,
4889,49,1.145,0.006,272774,,
4890,50,2.455,0.007,272782,,
4892,74,7.472,0.010,272798,,
4895,301,23.265,0.017,272811,,
4896,301,1.777,0.040,272827,,
4905,301,9.021,0.042,272922,,
4906,301,9.295,0.051,272935,,
4910,301,28.002,0.060,273013,,
4915,589,59.074,0.088,273150,,
4919,589,54.913,0.147,273290,,
4924,589,33.482,0.202,273402,,
4925,589,30.987,0.236,273425,,
4926,877,103.195,0.267,273445,,
4930,877,31.441,0.370,273492,,
4935,877,72.253,0.401,273502,,
4937,11,0.02,0.474,273522,,LHCb/ALICE VdM scan
4942,1165,39.321,0.474,273554,,
4945,32,0.054,0.513,273588,,Aborted ATLAS/CMS VdM scan
4947,1165,269.244,0.513,273725,,
4953,589,9.727,0.782,274094,,
4954,32,0.026,0.792,274100,,ATLAS/CMS VdM scan
4956,1165,7.123,0.792,274142,,
4958,1453,103.054,0.799,274157,,
4960,1740,6.677,0.902,274172,,
4961,1740,137.517,0.909,274198,,
4964,1740,204.152,1.046,274240,,
4965,1812,158.556,1.251,274250,,
4976,1812,57.927,1.409,274282,,
4979,2028,249.32,1.467,274314,,
4980,2028,352.759,1.716,274335,,
4984,2028,7.982,2.069,274382,,
4985,2028,308.49,2.077,274387,,
4988,2028,353.933,2.386,274420,,
4990,2028,235.906,2.740,274440,,
5005,590,48.61,2.976,274954,,Mu scan
5013,2028,435.666,3.024,274966,,
5017,2028,488.096,3.460,274998,,
5020,2028,406.472,3.948,275059,,
5021,2028,201.713,4.354,275124,,
5024,2028,198.457,4.556,275282,,
5026,2028,402.992,4.755,275309,,
5027,2028,203.426,5.158,275319,,
5028,2028,107.254,5.361,275344,,
5029,2028,144.107,5.468,275370,,
5030,2028,522.994,5.612,275375,,
5038,1884,85.638,6.135,275656,,
5043,2064,547.426,6.221,275757,,
5045,2064,710.548,6.768,275828,,
5048,2064,254.394,7.479,275886,,
5052,2064,363.383,7.733,275911,,
5056,2064,19.302,8.097,275963,,
5059,2064,100.022,8.116,276054,,
5060,2064,121.177,8.216,276092,,
5068,2064,122.146,8.337,276215,,
5069,2064,556.999,8.459,276225,,
5071,2064,356.682,9.016,276282,,
5072,2064,171.289,9.373,276315,,
5073,2064,496.705,9.544,276352,,
5076,2064,538.83,10.041,276437,,
5078,2064,564.051,10.580,276495,,
5080,2064,505.637,11.144,276525,,
5083,2064,381.341,11.650,276542,,
5085,2064,535.054,12.031,276581,,
5091,2064,311.834,12.566,276653,,
5093,2064,552.258,12.878,276775,,
5095,2064,570.92,13.430,276807,,
5096,2064,517.413,14.001,276831,,
5097,2064,549.478,14.518,276870,,
5101,2064,181.752,15.068,276935,,
5102,2064,540.602,15.250,276940,,
5105,2064,652.244,15.790,277069,,
5106,2064,514.23,16.442,277093,,
5107,2064,197.637,16.957,277126,,
5108,2064,150.014,17.154,277148,,
5109,2064,409.878,17.304,277166,,
5110,2064,34.19,17.714,277180,,
5111,2064,485.26,17.748,277194,,
5112,2064,115.813,18.234,277217,,
5116,2064,163.651,18.349,277305,,
5117,2064,65.705,18.513,277420,,
5149,2,0.039,18.579,277932,,
5151,578,54.905,18.579,277981,,Mu scan
5154,2064,366.448,18.634,278017,,
5161,2064,340.219,19.000,278167,,
5162,2064,36.914,19.340,278193,,
5163,2064,352.977,19.377,278239,,
5169,2064,29.857,19.730,278273,,
5170,2064,21.286,19.760,278288,,
5173,2064,436.017,19.781,278308,,
5179,2064,150.325,20.217,278315,,
5181,2064,369.778,20.368,278345,,
5183,2161,313.894,20.738,278406,,
5187,2160,295.631,21.051,278509,,
5194,2,0.003,21.347,278761,,
5196,2160,0,21.347,278765,,
5197,2160,182.217,21.347,278769,,
5198,2160,448.123,21.529,278801,,
5199,2208,519.335,21.977,278820,,
5205,1728,223.483,22.497,278873,,
5206,2208,103.881,22.720,278923,,
5209,2208,38.707,22.824,278957,,
5210,2208,124.081,22.863,278962,,
5211,2208,430.896,22.987,278969,,
5213,2208,34.283,23.418,278986,,
5219,2028,108.289,23.452,279024,,
5222,2028,27.585,23.560,279071,,
5223,2028,14.806,23.588,279080,,
5229,2208,187.982,23.603,279115,,
5246,2,0.022,23.791,279473,,
5247,578,7.117,23.791,279479,,
5251,2208,241.172,23.798,279588,,
5253,2208,447.016,24.039,279653,,
5254,2208,216.81,24.486,279667,,
5256,2208,96.376,24.703,279681,,
5257,2208,431.374,24.799,279691,,
5258,2208,411.971,25.231,279715,,
5261,2208,546.543,25.643,279760,,
5264,2208,232.032,26.189,279794,,
5265,2208,84.812,26.421,279823,,
5266,2208,394.738,26.506,279841,,
5267,2208,334.924,26.901,279844,,
5270,2208,77.105,27.236,279887,,
5274,2208,486.428,27.313,279931,,
5275,2208,96.429,27.799,279966,,
5276,2208,251.927,27.896,279975,,
5277,2208,598.745,28.148,279993,,
5279,2208,339.365,28.746,280187,,
5282,2208,465.257,29.086,280238,,
5287,2208,542.097,29.551,280327,,
5288,2208,401.152,30.093,280383,,
5330,3,0.139,30.494,281601,,"""VdM lite"" scan"
5331,157,11.289,30.494,281613,,
5332,589,8.499,30.506,281616,,
5338,1165,88.165,30.514,281638,,
5339,2208,495.08,30.602,281663,,
5340,2208,493.585,31.097,281707,,
5345,2208,412.844,31.591,281797,,
5351,2208,415.935,32.004,281974,,
5352,2208,383.406,32.420,282033,,
5355,2208,405.901,32.803,282092,,
5370,1896,25.009,33.209,282408,,
5385,9,0.177,33.234,282649,,
5386,589,11.181,33.234,282663,,
5391,2208,38.353,33.245,282707,,
5393,2208,498.806,33.284,282730,,
5394,2208,467.582,33.783,282799,,
5395,2208,45.818,34.250,282842,,
5401,2208,213.063,34.296,282917,,
5405,2208,166.618,34.509,283040,,
5406,2208,263.804,34.676,283049,,
5412,99,6.548,34.939,283171,,High-pileup test fill
5416,2208,615.502,34.946,283270,,
5418,2112,374.442,35.561,283305,,
5421,2208,458.089,35.936,283353,,
5422,4,0.049,36.394,283387,,Crossing angle test fill
5423,2208,534.674,36.394,283407,,
5424,2208,132.641,36.929,283453,,
5426,2208,1.148,37.061,283469,,
5427,2208,234.161,37.063,283478,,
5433,2028,204.97,37.297,283548,,
5437,2208,229.831,37.502,283672,,
5439,2208,417.856,37.731,283820,,
5441,2208,297.488,38.149,283863,,
5442,2208,443.264,38.447,283876,,
5443,2208,416.863,38.890,283884,,
5446,2208,339.117,39.307,283933,,
5448,2208,380.033,39.646,283946,,
5450,2208,111.057,40.026,284006,,
5451,2208,385.322,40.137,284025,,
5456,5,0.006,40.522,284077,2016 pp end,Emittance scan MD fill
5659,0,0.006,40.522,294034,2017 start,
5698,2,0.166,40.522,294927,,
5699,2,0.136,40.523,294986,,
5704,8,0.876,40.523,295122,,
5710,8,0.587,40.524,295191,,
5717,63,8.274,40.524,295315,,
5718,63,7.092,40.533,295366,,
5719,63,3.94,40.540,295390,,
5722,336,53.108,40.544,295436,,
5730,303,63.281,40.597,295600,,
5737,303,5.72,40.660,295953,,
